orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
135,LUMO+86,87,28.875987107663647,A,135
136,LUMO+87,88,29.295641087904748,A,136
137,LUMO+88,89,30.92723573550275,A,137
138,LUMO+89,90,31.18841060921265,A,138
139,LUMO+90,91,32.039228985571,A,139
140,LUMO+91,92,32.174823317275155,A,140
141,LUMO+92,93,32.80340631193015,A,141
142,LUMO+93,94,33.29761948720825,A,142
143,LUMO+94,95,33.6789326259139,A,143
144,LUMO+95,96,33.780594360460704,A,144
145,LUMO+96,97,33.863643507633306,A,145
146,LUMO+97,98,34.21399009015205,A,146
147,LUMO+98,99,34.699822158834756,A,147
148,LUMO+99,100,34.93966330666545,A,148
149,LUMO+100,101,35.2042940262767,A,149
150,LUMO+101,102,35.3970050552008,A,150
151,LUMO+102,103,35.45613539491445,A,151
152,LUMO+103,104,36.54197850394965,A,152
153,LUMO+104,105,36.9257406673098,A,153
154,LUMO+105,106,37.760803651724196,A,154
155,LUMO+106,107,38.94403630785335,A,155
156,LUMO+107,108,40.7553077309365,A,156
157,LUMO+108,109,42.050596870701554,A,157
158,LUMO+109,110,42.80663799293075,A,158
159,LUMO+110,111,44.68335279705915,A,159
160,LUMO+111,112,44.903220788263155,A,160
161,LUMO+112,113,45.2203150582508,A,161
162,LUMO+113,114,45.74443354569885,A,162
163,LUMO+114,115,46.14248168621025,A,163
164,LUMO+115,116,46.36289390511525,A,164
165,LUMO+116,117,47.11104372567995,A,165
166,LUMO+117,118,47.226991437378004,A,166
167,LUMO+118,119,47.602644607993255,A,167
168,LUMO+119,120,47.6900747881589,A,168
169,LUMO+120,121,47.758048828013806,A,169
170,LUMO+121,122,47.8181859889743,A,170
171,LUMO+122,123,47.9445012383764,A,171
172,LUMO+123,124,47.9756854856437,A,172
173,LUMO+124,125,48.0695647640662,A,173
174,LUMO+125,126,48.21468308053785,A,174
175,LUMO+126,127,48.480756003556756,A,175
176,LUMO+127,128,48.78008123910675,A,176
177,LUMO+128,129,49.2070006591562,A,177
178,LUMO+129,130,49.74472483912925,A,178
179,LUMO+130,131,50.13847358080275,A,179
180,LUMO+131,132,51.002543901680454,A,180
181,LUMO+132,133,51.54405046417545,A,181
182,LUMO+133,134,51.909934747557756,A,182
183,LUMO+134,135,52.2294236194298,A,183
184,LUMO+135,136,52.9328923457424,A,184
185,LUMO+136,137,53.198121715824755,A,185
186,LUMO+137,138,53.86605237326205,A,186
187,LUMO+138,139,54.104669008765505,A,187
188,LUMO+139,140,54.30954352680695,A,188
189,LUMO+140,141,54.507506353045706,A,189
190,LUMO+141,142,54.887676613579245,A,190
191,LUMO+142,143,55.4696465056436,A,191
192,LUMO+143,144,56.554020199886104,A,192
193,LUMO+144,145,56.92251677623321,A,193
194,LUMO+145,146,57.73523921352155,A,194
195,LUMO+146,147,57.8751873668337,A,195
196,LUMO+147,148,57.921038550642955,A,196
197,LUMO+148,149,57.99731206293811,A,197
198,LUMO+149,150,58.7432849726988,A,198
199,LUMO+150,151,58.98228256759295,A,199
200,LUMO+151,152,59.517176763520794,A,200
201,LUMO+152,153,60.21566580636925,A,201
202,LUMO+153,154,60.4391529117849,A,202
203,LUMO+154,155,61.543608608194305,A,203
204,LUMO+155,156,61.894200093178505,A,204
205,LUMO+156,157,62.22288641319746,A,205
206,LUMO+157,158,62.324221611123654,A,206
207,LUMO+158,159,62.51467409508861,A,207
208,LUMO+159,160,62.947362328768655,A,208
209,LUMO+160,161,63.8277866920614,A,209
210,LUMO+161,162,63.88686260900496,A,210
211,LUMO+162,163,64.10814559223155,A,211
212,LUMO+163,164,64.25889666540854,A,212
213,LUMO+164,165,64.76535496395915,A,213
214,LUMO+165,166,66.96444304677489,A,214
215,LUMO+166,167,67.80900280457175,A,215
216,LUMO+167,168,68.40498655993686,A,216
217,LUMO+168,169,70.27057190757981,A,217
218,LUMO+169,170,70.34189294779586,A,218
219,LUMO+170,171,70.87648781848814,A,219
220,LUMO+171,172,71.39127280086406,A,220
221,LUMO+172,173,71.58420152086855,A,221
222,LUMO+173,174,71.67492427862526,A,222
223,LUMO+174,175,71.80485864223901,A,223
224,LUMO+175,176,74.0382602816028,A,224
225,LUMO+176,177,74.4046887926861,A,225
226,LUMO+177,178,74.42594088441015,A,226
227,LUMO+178,179,74.55748071974185,A,227
228,LUMO+179,180,75.1716144689353,A,228
229,LUMO+180,181,75.93274412016885,A,229
230,LUMO+181,182,76.81482837794965,A,230
231,LUMO+182,183,77.88897059141335,A,231
232,LUMO+183,184,78.23362999445665,A,232
233,LUMO+184,185,78.43455886166585,A,233
234,LUMO+185,186,79.09029881860076,A,234
235,LUMO+186,187,79.6004850769032,A,235
236,LUMO+187,188,81.33888441082244,A,236
237,LUMO+188,189,81.9153576031067,A,237
238,LUMO+189,190,83.9936543476855,A,238
239,LUMO+190,191,85.14891369998325,A,239
240,LUMO+191,192,85.2684533145079,A,240
241,LUMO+192,193,87.0922691860991,A,241
242,LUMO+193,194,88.82098126694056,A,242
243,LUMO+194,195,91.18728331088856,A,243
244,LUMO+195,196,94.3214634295625,A,244
245,LUMO+196,197,98.85044472312936,A,245
246,LUMO+197,198,100.0478817222546,A,246
