excited_states:spectrum:nm:x / nm,excited_states:spectrum:nm:y / arb. unit
939.2742305545474,6.438713676549545e-18
932.2120182947388,8.127674664092044e-18
925.2552121880617,1.022302104870412e-17
918.4014698755574,1.281264148538322e-17
911.6485178911782,1.6000932122314053e-17
904.9941491474472,1.9911307500489912e-17
898.4362205304366,2.4688962892414835e-17
891.9726505985631,3.050388490812655e-17
885.6014173800017,3.755409958234816e-17
879.3205562638317,4.6069138035912906e-17
873.1281579802835,5.631368913818912e-17
867.0223666657362,6.859139639662588e-17
861.0013780083351,8.324874263894821e-17
855.0634374703467,1.0067895108097741e-16
849.2068385835636,1.2132581532088528e-16
843.4299213142875,1.456873539942285e-16
837.7310704945965,1.7431916868814166e-16
832.1087143167803,2.078373667749104e-16
826.5613228880019,2.4692089471375937e-16
821.0874068423858,2.9231311280978823e-16
815.6855160078966,3.448224302196319e-16
810.3542381254919,4.053218100303947e-16
805.0921976181835,4.747469494301526e-16
799.8980544077436,5.540929402653203e-16
794.7705027769247,6.444092215480958e-16
789.708270275161,7.467926485745275e-16
784.7101166658243,8.623785239648915e-16
779.7748329132093,9.923294647035666e-16
774.9012402075016,1.1378220164815414e-15
770.0881890260886,1.3000309724129989e-15
765.3345582296312,1.4801114072809008e-15
760.6392541914126,1.6791785002899392e-15
756.0012099585383,1.8982852879169504e-15
751.4193844436379,2.138398562504641e-15
746.8927616457847,2.4003732100067387e-15
742.4203498994028,2.6849253596475047e-15
738.0011811500015,2.9926047967516424e-15
733.634310255623,3.3237671648930447e-15
729.3188143129428,3.678546551855742e-15
725.0537920070191,4.0568291126357676e-15
720.8383629837225,4.458228428775314e-15
716.6716672439321,4.882063333767246e-15
712.5528645586222,5.327338946410599e-15
708.4811339040015,5.792731645538362e-15
704.4556729159107,6.276578688702838e-15
700.4756973627133,6.776873123064751e-15
696.5404406359565,7.291264558516846e-15
692.6491532581022,7.81706627144792e-15
688.8011024066681,8.351268983878421e-15
684.9955714541451,8.89056151924916e-15
681.2318595230784,9.431358376091395e-15
677.5092810557392,9.96983408816081e-15
673.8271653978275,1.050196405913092e-14
670.1848563956771,1.1023571376967372e-14
666.5817120064529,1.1530378933427582e-14
663.017103920857,1.2018066003760839e-14
659.4904171978737,1.2482328286636436e-14
656.0010499111124,1.2918940270380251e-14
652.5484128063172,1.3323818684059206e-14
649.1319289696348,1.3693085715418179e-14
645.7510335062515,1.4023130635830576e-14
642.405173229017,1.431066846786082e-14
639.0938063567024,1.4552794365106288e-14
635.8164022215398,1.4747032446712756e-14
632.5724409857157,1.489137793899388e-14
629.3614133664988,1.498433162124016e-14
626.1828203696983,1.502492574810467e-14
623.0361730311571,1.5012740821791622e-14
