excited_states:spectrum:ev:x / eV,excited_states:spectrum:ev:y / oscillator_strength
1.32,2.85961255625567e-05
1.33,3.555649750766249e-05
1.34,4.4058083649069344e-05
1.35,5.440353025795261e-05
1.36,6.694581160912194e-05
1.37,8.209459978975264e-05
1.3800000000000001,0.00010032302505374968
1.3900000000000001,0.00012217476097741852
1.4000000000000001,0.00014827134497972345
1.41,0.00017931961846709492
1.42,0.00021611914226901078
1.43,0.0002595694126251765
1.44,0.0003106766714198303
1.45,0.00037056007246791766
1.46,0.0004404569344628232
1.47,0.0005217267818995175
1.48,0.0006158538492635095
1.49,0.0007244477025439159
1.5,0.000849241617318847
1.51,0.0009920883459688082
1.52,0.0011549529097019146
1.53,0.0013399020656647386
1.54,0.0015490901269658273
1.55,0.0017847408552304838
1.56,0.002049125202293742
1.57,0.002344534750373633
1.58,0.002673250788602001
1.59,0.003037509067600998
1.6,0.003439460391711353
1.61,0.003881127338640719
1.62,0.004364357536125608
1.6300000000000001,0.0048907740713902866
1.6400000000000001,0.005461723757760775
1.6500000000000001,0.006078224129159234
1.6600000000000001,0.00674091017226414
1.67,0.0074499819324091
1.68,0.008205154237151478
1.69,0.009005609865226494
1.7,0.00984995754291065
1.71,0.010736196169726214
1.72,0.011661686656736538
1.73,0.012623132700188874
1.74,0.013616571708933684
1.75,0.014637376955253849
1.76,0.015680271826382777
1.77,0.01673935682062884
1.78,0.01780814966188593
1.79,0.018879638605275473
1.8,0.01994634868215602
1.81,0.021000420293539185
1.82,0.022033699216966077
1.83,0.023037836753828096
1.84,0.024004398423093463
1.85,0.024924979314583352
1.86,0.025791323961076945
1.87,0.026595448383514096
1.8800000000000001,0.02732976181603695
1.8900000000000001,0.027987185534537787
1.9000000000000001,0.028561266198732428
1.9100000000000001,0.029046281176270367
1.92,0.029437333448297583
1.93,0.029730433896959098
1.94,0.029922569041817847
1.95,0.030011752616954535
1.96,0.0299970597543322
1.97,0.02987864295076868
1.98,0.029657729433044903
1.99,0.029336599984812764
2.0,0.028918549746126614
2.0100000000000002,0.028407831927755665
2.02,0.02780958578468763
2.0300000000000002,0.027129750554249193
2.04,0.026374967373434616
2.05,0.025552471438657843
2.06,0.0246699768527622
2.07,0.023735556714680407
2.08,0.022757521045107486
2.09,0.02174429510790665
2.1,0.02070430058508158
2.11,0.01964584189859474
2.12,0.018576999752554675
2.13,0.01750553370337757
2.14,0.016438795263622036
