orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
226,LUMO+177,178,74.3830829529564,A,226
227,LUMO+178,179,74.4621592379117,A,227
228,LUMO+179,180,74.62082882413826,A,228
229,LUMO+180,181,74.8512820441267,A,229
230,LUMO+181,182,77.7823291734024,A,230
231,LUMO+182,183,77.91797792787665,A,231
232,LUMO+183,184,78.29882847303645,A,232
233,LUMO+184,185,78.70694482601635,A,233
234,LUMO+185,186,78.92610532120905,A,234
235,LUMO+186,187,79.0710603693704,A,235
236,LUMO+187,188,80.7871735789337,A,236
237,LUMO+188,189,81.83913851358164,A,237
238,LUMO+189,190,84.38884529276666,A,238
239,LUMO+190,191,84.70308236732406,A,239
240,LUMO+191,192,85.128641218121,A,240
241,LUMO+192,193,86.67144511630084,A,241
242,LUMO+193,194,88.4961589635987,A,242
243,LUMO+194,195,90.77094911962355,A,243
244,LUMO+195,196,95.2049626793659,A,244
245,LUMO+196,197,98.7392862152001,A,245
246,LUMO+197,198,99.9240699202771,A,246
