excited_states:spectrum:nm:x / nm,excited_states:spectrum:nm:y / arb. unit
805.0921976181835,3.266483437566849e-19
799.8980544077436,4.113586207970334e-19
794.7705027769247,5.162017132845148e-19
789.708270275161,6.454720448049781e-19
784.7101166658243,8.042573620520338e-19
779.7748329132093,9.98556649269118e-19
774.9012402075016,1.2354092898704327e-18
770.0881890260886,1.5230351892902547e-18
765.3345582296312,1.8709852034545756e-18
760.6392541914126,2.290300779394294e-18
756.0012099585383,2.7936812075879403e-18
751.4193844436379,3.3956563112887293e-18
746.8927616457847,4.112761761012174e-18
742.4203498994028,4.963713510681788e-18
738.0011811500015,5.969577117722285e-18
733.634310255623,7.15392694899553e-18
729.3188143129428,8.542989508743948e-18
725.0537920070191,1.0165764379055627e-17
720.8383629837225,1.2054115567660718e-17
716.6716672439321,1.4242825446057832e-17
712.5528645586222,1.6769602970468293e-17
708.4811339040015,1.967503754891281e-17
704.4556729159107,2.300248979116406e-17
700.4756973627133,2.6797910495722152e-17
696.5404406359565,3.110957962872178e-17
692.6491532581022,3.5987757769433406e-17
688.8011024066681,4.1484243565436086e-17
684.9955714541451,4.7651832179088436e-17
681.2318595230784,5.4543671526632324e-17
677.5092810557392,6.221251531056939e-17
673.8271653978275,7.070987440879135e-17
670.1848563956771,8.008507107818696e-17
666.5817120064529,9.03842036068317e-17
663.017103920857,1.0164903244051459e-16
659.4904171978737,1.1391580233206236e-16
656.0010499111124,1.272140186151942e-16
652.5484128063172,1.4156519917365583e-16
649.1319289696348,1.5698162693481207e-16
645.7510335062515,1.7346513063058792e-16
642.405173229017,1.9100592400022019e-16
639.0938063567024,2.0958153542315713e-16
635.8164022215398,2.291558610387239e-16
632.5724409857157,2.496783746174576e-16
629.3614133664988,2.710835267026799e-16
626.1828203696983,2.9329036377065407e-16
623.0361730311571,3.1620239532512617e-16
619.9209921660013,3.3970773294387706e-16
616.8368081253744,3.636795203663576e-16
613.7831605603974,3.8797666782817363e-16
610.7595981931047,4.124448971265736e-16
607.7656785941189,4.369180964968541e-16
604.8009679668306,4.612199764847157e-16
601.8650409378653,4.851660098368351e-16
598.9574803536245,5.085656302487229e-16
596.0778770826935,5.312246568686199e-16
593.2258298239249,5.529479040288257e-16
590.4009449200013,5.735419290281729e-16
587.6028361763047,5.928178651734279e-16
584.831124684907,6.105942829309778e-16
582.0854386535224,6.267000191355805e-16
579.3654132392536,6.40976912899176e-16
576.670690386978,6.532823872569197e-16
574.0009186722234,6.63491817720286e-16
571.3557531483883,6.715006327582794e-16
568.7348551981663,6.772260967165532e-16
566.1378923890423,6.806087326699305e-16
563.5645383327284,6.816133509907502e-16
561.0144725484175,6.802296587591079e-16
558.4873803297309,6.76472435257241e-16
555.9829526152479,6.703812693654236e-16
553.5008858625011,6.620198653798138e-16
551.0408819253346,6.514749342680115e-16
548.6026479345144,6.388546973379189e-16
546.185896181499,6.242870384127721e-16
543.7903440052643,6.079173486049162e-16
541.4157136820972,5.899061144302735e-16
539.061732318262,5.704263051221654e-16
536.7281317454557,5.496606184613989e-16
534.4146484189666,5.277986461733492e-16
532.1210233184561,5.050340199474752e-16
529.8470018512832,4.815615974647145e-16
527.592333758299,4.575747445837521e-16
525.356773022035,4.332627651977771e-16
523.1400777772163,4.088085244299504e-16
520.9420102235306,3.843863040219831e-16
518.7623365405868,3.6015992124107733e-16
516.6008268050011,3.362811346531983e-16
514.4572549095446,3.128883519527382e-16
512.3313984842986,2.9010564695912067e-16
510.22303881975415,2.6804208513006692e-16
508.1319607918043,2.467913497139929e-16
506.0579527885725,2.264316541524369e-16
504.0008066390255,2.0702592069344564e-16
501.96031754332085,1.886222004943296e-16
499.9362840048398,1.712543068430549e-16
497.92850776385643,1.5494263053746519e-16
495.93679373280105,1.3969510491923632e-16
493.96094993306866,1.2550828751933235e-16
492.0007874333343,1.1236852565931558e-16
490.05612028932904,1.0025317456941919e-16
488.12676548504044,8.913183851342163e-17
486.2125428752951,7.896760792322843e-17
484.3132751296885,6.971826850800175e-17
482.4287876778221,6.13374615780159e-17
480.55890865581495,5.377577828110917e-17
478.70346885405513,4.698177396692026e-17
476.86230166615485,4.0902892360523266e-17
475.03524303908154,3.5486292546629186e-17
473.2221314244285,3.067957485853846e-17
471.4228077307995,2.6431404570133273e-17
469.6371152772737,2.269203475917705e-17
467.8648997479255,1.941373181765001e-17
466.1060091473694,1.6551108816804522e-17
464.36029375730436,1.4061373292094246e-17
462.62760609403085,1.1904497009010203e-17
460.9078008669155,1.0043315927958641e-17
459.2007349377787,8.443568934997197e-18
457.5062672811818,7.07388398137254e-18
455.8242589455891,5.905720117538613e-18
454.15457301538555,4.913273557370883e-18
452.4970745737236,4.073355406088957e-18
450.8516306661828,3.3652480698777166e-18
449.2181102652183,2.770546672562019e-18
447.59638423538,2.272991067659393e-18
445.98632529928153,1.8582932813396243e-18
444.38780800430203,1.513964477534073e-18
442.8007086900009,1.229144820457616e-18
441.2249054562287,9.944389375796396e-19
439.66027813191585,8.017590689266111e-19
438.1067082445239,6.441774340884964e-19
436.56407899014175,5.157888606791025e-19
435.0322752042115,4.115842986777047e-19
433.5111833328681,3.273354931288915e-19
432.0006914048789,2.59490800329012e-19
430.50068900416755,2.0508190573928574e-19
429.01106724290753,1.616410303500221e-19
427.53171873517334,1.271280904300027e-19
426.0625375711349,9.986719764395213e-20
424.6034192917818,7.849184655668413e-20
423.1542608641647,6.189812895394836e-20
421.71496065714376,4.9205333986194445e-20
420.28541841762797,3.972333517453194e-20
418.8655352472982,3.292622566387364e-20
417.45521357979885,2.843173820350446e-20
416.05435715839013,2.5986073182497977e-20
414.6628710140477,2.5453854167838448e-20
413.28066144400094,2.6813033757269047e-20
411.9076359906985,3.015468149598467e-20
410.5437034211929,3.568769869894904e-20
409.18877370693156,4.374862098734192e-20
407.8427580039483,5.481678691715893e-20
406.50556863344343,6.953526885854105e-20
405.17711906274593,8.873807863119643e-20
403.8573238866458,1.134842732862382e-19
402.54609880909175,1.4509969331172256e-19
401.2433606252436,1.8522716327055395e-19
399.9490272038718,2.358860695780348e-19
398.6630174700973,2.9954229712082103e-19
397.38525138846234,3.7918955019785893e-19
396.1156499463267,4.784430974673904e-19
394.8541351375805,6.016469580433061e-19
393.60062994666754,7.539954787118012e-19
392.35505833291217,9.416701319886558e-19
391.1173452151428,1.1719921826258462e-18
389.8874164566046,1.453591617393411e-18
388.6651988501576,1.7965924010513524e-18
387.4506201037508,2.2128137027562965e-18
386.243608826169,2.7159862254536082e-18
385.0440945130443,3.3219821618141773e-18
383.85200753312773,4.049056592367435e-18
382.6672791148156,4.918097336418112e-18
381.48984133292396,5.95287936995671e-18
380.3196270957063,7.180318947724806e-18
379.1565701321109,8.630721524927072e-18
378.00060497926916,1.0338016489803616e-17
376.8516669702136,1.2339970619689875e-17
375.70969222181895,1.4678371095080524e-17
374.5746176229615,1.7399167889684772e-17
373.44638082289237,2.0552564446570613e-17
372.3249202198206,2.419304480341058e-17
371.2101749497014,2.8379324799738824e-17
370.10208487522465,3.317421474453827e-17
369.00059057500073,3.8644381002388664e-17
367.90563333293846,4.485999442783441e-17
366.8171551278115,5.189425449293215e-17
365.7350986230096,5.982277935689247e-17
364.6594071564714,6.872285405326606e-17
363.59002473079255,7.867253143933662e-17
362.52689600350953,8.974958356719331e-17
361.4699662775518,1.0203030467959821e-16
360.41918149186125,1.1558817106706217e-16
359.37448821217464,1.30492367482586e-16
358.33583362196606,1.4680619460925287e-16
357.3031655135454,1.6458537710064513e-16
356.2764322793111,1.8387629682826124e-16
355.2555829031526,2.0471418101605774e-16
354.24056695200073,2.271212797441561e-16
353.2313345675221,2.511050716733305e-16
352.22783645795533,2.7665654058353183e-16
351.2300238900857,3.037485682383952e-16
350.23784868135664,3.3233449099598546e-16
349.25126319211336,3.623468683134055e-16
348.27022031797827,3.9369651069329016e-16
347.29467348235363,4.2627181258155347e-16
346.3245766290511,4.599384321766028e-16
345.3598842150426,4.945393550277597e-16
344.40055120333403,5.298953717146639e-16
343.4465330559564,5.658059918972696e-16
342.49778572707254,6.020508077526018e-16
341.5542656561991,6.383913094719462e-16
340.6159297615392,6.745731443364986e-16
339.68273543342536,7.103287992233767e-16
338.7546405278696,7.453806745594048e-16
337.8316033602187,7.794445061062797e-16
336.91358269891373,8.122330799125651e-16
336.0005377593504,8.434601756904545e-16
335.09242819783856,8.728446651399907e-16
334.18921410566105,9.001146846920483e-16
333.29085600322645,9.250117970721194e-16
332.3973148343171,9.472950532398343e-16
331.5085519604285,9.667448658058418e-16
330.62452915520066,9.83166607060767e-16
329.74520859893687,9.96393849279387e-16
328.8705528732103,1.0062911719078258e-15
328.0005249555562,1.0127564694376826e-15
327.1350882142487,1.0157227049710947e-15
326.2742064031586,1.0151590673638287e-15
325.4178436566936,1.01107150401531e-15
324.5659644848174,1.003502616422212e-15
323.71853376814687,9.92530921059984e-16
322.87551675312574,9.782694935236136e-16
322.03687904727343,9.608640286672265e-16
321.2025866145085,9.404903632751796e-16
320.3726057705434,9.173515201570608e-16
319.5469031783512,8.916743431211908e-16
318.72544584370246,8.637058007485162e-16
317.9082011107699,8.337090430411601e-16
317.0951366578012,8.01959298720852e-16
316.28622049285786,7.687397021530225e-16
315.481420949619,7.34337137609667e-16
314.6807066832494,6.990381849785321e-16
313.8840466663298,6.631252452729107e-16
313.09141018484917,6.268729166566464e-16
312.30276683425757,5.905446824864103e-16
311.51808651557855,5.543899624414331e-16
310.73733943157964,5.1864156653652e-16
309.96049608300063,4.835135800840586e-16
309.1875272648386,4.491996958649691e-16
308.4184040626872,4.1587199824856404e-16
307.65309784913217,3.836801930961817e-16
306.8915802801987,3.527512672809562e-16
306.1338232918525,3.231895527943636e-16
305.37979909655235,2.9507716287200636e-16
304.6294801798532,2.6847476148238534e-16
303.88283929705943,2.434226229505006e-16
303.1398494699273,2.1994193544521483e-16
302.4004839834153,1.9803630050539987e-16
301.66471638248237,1.776933806297955e-16
300.93252046893264,1.5888664808494947e-16
300.2038702983057,1.4157719033993758e-16
299.47874017681227,1.257155307391127e-16
298.75710465831384,1.1124342698436645e-16
298.03893854134674,9.809561452088179e-17
297.3242168661877,8.620146681154897e-17
296.61291491196243,7.548654956088798e-17
295.9050081937953,6.587405103950022e-17
295.20047246000064,5.728607561418339e-17
294.4992836893118,4.96447922781832e-17
293.80141808815233,4.287343429634248e-17
293.10685208794393,3.6897149951503014e-17
292.4155623424535,3.16437077466358e-17
291.7275257251771,2.7044062250211265e-17
291.0427193267612,2.303278906027062e-17
290.36112045245966,1.954839911426563e-17
289.6827066196268,1.6533543811882136e-17
289.0074555552454,1.393512318437673e-17
288.335345193489,1.1704309683859e-17
287.66635367331844,9.796500133383785e-18
287.0004593361117,8.17120803143608e-18
286.3376407233262,6.791907801213528e-18
285.67787657419416,5.625841773820169e-18
285.0211458234489,4.64379974987024e-18
284.36742759908316,3.819879946527055e-18
283.7167012201379,3.1312390516768614e-18
283.0689461945212,2.557838012729777e-18
282.4241422168571,2.082189116997027e-18
281.7822691663642,1.6891088998731848e-18
281.14330710476247,1.3654804660984205e-18
