orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
211,LUMO+162,163,64.04223961764045,A,211
212,LUMO+163,164,64.6083180608356,A,212
213,LUMO+164,165,64.9206503384395,A,213
214,LUMO+165,166,65.77111496679221,A,214
215,LUMO+166,167,66.6180421150884,A,215
216,LUMO+167,168,67.76824014976685,A,216
217,LUMO+168,169,69.07623700635024,A,217
218,LUMO+169,170,69.5865321101929,A,218
219,LUMO+170,171,70.09639183187474,A,219
220,LUMO+171,172,70.6844026514202,A,220
221,LUMO+172,173,70.92993097872635,A,221
222,LUMO+173,174,71.4722266713878,A,222
223,LUMO+174,175,71.75389171804035,A,223
224,LUMO+175,176,71.94540544602225,A,224
225,LUMO+176,177,72.58977104400626,A,225
226,LUMO+177,178,74.17973227247775,A,226
227,LUMO+178,179,74.37089225245401,A,227
228,LUMO+179,180,74.54923567007171,A,228
229,LUMO+180,181,75.7111618117067,A,229
230,LUMO+181,182,77.57326410206325,A,230
231,LUMO+182,183,77.6400136295909,A,231
232,LUMO+183,184,77.97604702357336,A,232
233,LUMO+184,185,78.94923499850155,A,233
234,LUMO+185,186,79.59898845072546,A,234
235,LUMO+186,187,80.0993786104099,A,235
236,LUMO+187,188,82.75382201065236,A,236
237,LUMO+188,189,82.872273169775,A,237
238,LUMO+189,190,83.44735858142171,A,238
239,LUMO+190,191,84.642645881128,A,239
240,LUMO+191,192,86.51639464428595,A,240
241,LUMO+192,193,87.53004594878351,A,241
242,LUMO+193,194,88.15109138977965,A,242
243,LUMO+194,195,91.5296841689727,A,243
244,LUMO+195,196,97.97080949000305,A,244
245,LUMO+196,197,98.402899073212,A,245
246,LUMO+197,198,103.2760771762763,A,246
