Duration / s,Memory Used (Real) / bytes,Memory Used (Real) / %,Memory Available  (Real) / bytes,Memory Available (Real) / %,Memory Used (Total) / bytes,Memory Used (Total) / %,Memory Available  (Total) / bytes,Memory Available (Total) / %,CPU Usage / %,Total Reads / bytes,Read Speed / bytes/sec,Total Writes / bytes,Write Speed / bytes/sec,New Processes,Output Directory Available / bytes,Output Directory Available / %,Scratch Directory Used / bytes,Scratch Directory Available / bytes,Scratch Directory Available / %
0.0812,8192.0,7.571112841421651e-07,814728171520,75.3,361185280.0,0.03338103651782807,814728171520,75.29783839920721,0.0,0.0,0.0,0.0,0.0,1,1377119179374592,8.900000000000006,1585,224465190912,99.3
60.224204,123592704.0,0.011422537943852847,813961654272,75.2,923746304.0,0.08537338262243885,813961654272,75.22699625346131,0.1,0.0,0.0,128196608.0,2134287.4594341465,1,1377055618891776,8.900000000000006,65023398,224399396864,99.3
120.299587,123617280.0,0.011424809277705273,814501912576,75.3,923746304.0,0.08537338262243885,814501912576,75.27692736409485,99.4,0.0,0.0,179412992.0,852466.7939742554,0,1376985993445376,8.900000000000006,64537278,224399908864,99.3
