Duration / s,Memory Used (Real) / bytes,Memory Used (Real) / %,Memory Available  (Real) / bytes,Memory Available (Real) / %,Memory Used (Total) / bytes,Memory Used (Total) / %,Memory Available  (Total) / bytes,Memory Available (Total) / %,CPU Usage / %,Total Reads / bytes,Read Speed / bytes/sec,Total Writes / bytes,Write Speed / bytes/sec,New Processes,Output Directory Available / bytes,Output Directory Available / %,Scratch Directory Used / bytes,Scratch Directory Available / bytes,Scratch Directory Available / %
0.084257,8192.0,7.570907491823308e-07,892086226944,82.4,361185280.0,0.033380131131448956,892086226944,82.44509642239643,0.0,0.0,0.0,0.0,0.0,1,1378841016664064,8.900000000000006,1722,224335970304,99.2
60.162192,124481536.0,0.011504372479200106,886373625856,81.9,923738112.0,0.08537030996854877,886373625856,81.91714751645237,0.1,0.0,0.0,138321920.0,2304123.487577645,1,1378819181117440,8.900000000000006,65507687,224072986624,99.1
120.199484,119808000.0,0.011072452206791586,883121344512,81.6,890314752.0,0.08228137971188487,883121344512,81.61657718939175,0.0,0.0,0.0,220790784.0,1373460.9971840582,1,1378797479788544,8.900000000000006,86928292,224030162944,99.1
181.597661,81252352.0,0.007509204595764946,897607925760,83.0,850669568.0,0.07861743903121698,897607925760,82.95540246406692,93.4,0.0,0.0,230879232.0,168029.9590375209,0,1378775065427968,8.900000000000006,87143740,224068259840,99.1
