excited_states:index,excited_states:symbol,excited_states:multiplicity,excited_states:multiplicity_index,excited_states:energy / eV,excited_states:wavelength / nm,excited_states:colour,excited_states:cie:x,excited_states:cie:y,excited_states:symmetry,excited_states:oscillator_strength,excited_states:tdm,excited_states:transitions:0:index,excited_states:transitions:0:start:spin,excited_states:transitions:0:start:index,excited_states:transitions:0:start:label,excited_states:transitions:0:end:spin,excited_states:transitions:0:end:index,excited_states:transitions:0:end:label,excited_states:transitions:0:coefficient,excited_states:transitions:0:probability,excited_states:transitions:1:index,excited_states:transitions:1:start:spin,excited_states:transitions:1:start:index,excited_states:transitions:1:start:label,excited_states:transitions:1:end:spin,excited_states:transitions:1:end:index,excited_states:transitions:1:end:label,excited_states:transitions:1:coefficient,excited_states:transitions:1:probability
1,S(1),1,1,1.9203619502183966,645.629322217616,Red,0.7234587873634439,0.27652348525413656,Singlet,4.6e-08,,1,none,48,HOMO,none,49,LUMO,nan,nan,2,none,48,HOMO,none,53,LUMO+4,nan,nan
2,S(2),1,2,3.8913098674698365,318.6181585529087,Ultraviolet,0.0,0.0,Singlet,0.817503587,,1,none,46,HOMO-2,none,49,LUMO,nan,nan,2,none,47,HOMO-1,none,49,LUMO,nan,nan
