orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
197,LUMO+148,149,58.2196290787966,A,197
198,LUMO+149,150,58.4005847893791,A,198
199,LUMO+150,151,58.7066040256514,A,199
200,LUMO+151,152,59.1572789848495,A,200
201,LUMO+152,153,59.8039847619478,A,201
202,LUMO+153,154,60.4935212591148,A,202
203,LUMO+154,155,61.28901888966651,A,203
204,LUMO+155,156,61.87215887128799,A,204
205,LUMO+156,157,62.431869850381446,A,205
206,LUMO+157,158,62.52776277129765,A,206
207,LUMO+158,159,62.58610398084485,A,207
208,LUMO+159,160,62.733290362580306,A,208
209,LUMO+160,161,63.16657724673145,A,209
210,LUMO+161,162,63.89869956150171,A,210
211,LUMO+162,163,63.93584310209495,A,211
212,LUMO+163,164,64.2095080015428,A,212
213,LUMO+164,165,65.10016384561435,A,213
214,LUMO+165,166,67.49476573001435,A,214
215,LUMO+166,167,68.068735474874,A,215
216,LUMO+167,168,69.24946468357855,A,216
217,LUMO+168,169,69.50035365373955,A,217
218,LUMO+169,170,70.63060574317635,A,218
219,LUMO+170,171,70.83022846390315,A,219
220,LUMO+171,172,71.12193451163915,A,220
221,LUMO+172,173,71.51503018007145,A,221
222,LUMO+173,174,71.54844576091286,A,222
223,LUMO+174,175,71.7301906016618,A,223
224,LUMO+175,176,73.33786644180086,A,224
225,LUMO+176,177,74.39404914113156,A,225
226,LUMO+177,178,74.46196875821634,A,226
227,LUMO+178,179,74.50583351091696,A,227
228,LUMO+179,180,74.7237694937824,A,228
229,LUMO+180,181,75.59401679906645,A,229
230,LUMO+181,182,77.699933099471,A,230
231,LUMO+182,183,77.96178825780716,A,231
232,LUMO+183,184,78.17000977620975,A,232
233,LUMO+184,185,78.29686925331285,A,233
234,LUMO+185,186,78.80343639740366,A,234
235,LUMO+186,187,80.30028026623405,A,235
236,LUMO+187,188,80.42703089779695,A,236
237,LUMO+188,189,82.18004274548805,A,237
238,LUMO+189,190,84.54982784672245,A,238
239,LUMO+190,191,84.98624404015436,A,239
240,LUMO+191,192,85.1150899483661,A,240
241,LUMO+192,193,86.88932667639621,A,241
242,LUMO+193,194,87.14954915162936,A,242
243,LUMO+194,195,92.9817380980108,A,243
244,LUMO+195,196,95.55906443302156,A,244
245,LUMO+196,197,99.48109578304816,A,245
246,LUMO+197,198,99.9745742509299,A,246
