excited_states:index,excited_states:symbol,excited_states:multiplicity,excited_states:multiplicity_index,excited_states:energy / eV,excited_states:wavelength / nm,excited_states:colour,excited_states:cie:x,excited_states:cie:y,excited_states:symmetry,excited_states:oscillator_strength,excited_states:tdm,excited_states:transitions:0:index,excited_states:transitions:0:start:spin,excited_states:transitions:0:start:index,excited_states:transitions:0:start:label,excited_states:transitions:0:end:spin,excited_states:transitions:0:end:index,excited_states:transitions:0:end:label,excited_states:transitions:0:coefficient,excited_states:transitions:0:probability,excited_states:transitions:1:index,excited_states:transitions:1:start:spin,excited_states:transitions:1:start:index,excited_states:transitions:1:start:label,excited_states:transitions:1:end:spin,excited_states:transitions:1:end:index,excited_states:transitions:1:end:label,excited_states:transitions:1:coefficient,excited_states:transitions:1:probability,excited_states:transitions:2:index,excited_states:transitions:2:start:spin,excited_states:transitions:2:start:index,excited_states:transitions:2:start:label,excited_states:transitions:2:end:spin,excited_states:transitions:2:end:index,excited_states:transitions:2:end:label,excited_states:transitions:2:coefficient,excited_states:transitions:2:probability,excited_states:transitions:3:index,excited_states:transitions:3:start:spin,excited_states:transitions:3:start:index,excited_states:transitions:3:start:label,excited_states:transitions:3:end:spin,excited_states:transitions:3:end:index,excited_states:transitions:3:end:label,excited_states:transitions:3:coefficient,excited_states:transitions:3:probability
1,S(1),1,1,1.9535870528258992,634.6489564099786,Red,0.7136400090535175,0.28631981965158176,Singlet,0.030018445,,1,none,46,HOMO-2,none,49,LUMO,nan,nan,2,none,47,HOMO-1,none,49,LUMO,nan,nan,3,none,48,HOMO,none,49,LUMO,nan,nan,,,,,,,,,
2,S(2),1,2,3.8187915231217673,324.6686751096752,Ultraviolet,0.0,0.0,Singlet,0.035624758,,1,none,46,HOMO-2,none,49,LUMO,nan,nan,2,none,47,HOMO-1,none,49,LUMO,nan,nan,3,none,48,HOMO,none,49,LUMO,nan,nan,4,none,48,HOMO,none,50,LUMO+1,nan,nan
