excited_states:spectrum:nm:x / nm,excited_states:spectrum:nm:y / arb. unit
968.626550259377,7.988900876712887e-24
961.1178173116299,1.0112953643432184e-23
953.7246033323097,1.275591607092452e-23
946.444262848857,1.603203832530188e-23
939.2742305545474,2.0077519949935436e-23
932.2120182947388,2.5053960494343307e-23
925.2552121880617,3.115218087306719e-23
918.4014698755574,3.859641777979184e-23
911.6485178911782,4.764888376045012e-23
904.9941491474472,5.861467367212298e-23
898.4362205304366,7.184698411792259e-23
891.9726505985631,8.775259601098661e-23
885.6014173800017,1.0679755172285836e-22
879.3205562638317,1.2951293745003245e-22
873.1281579802835,1.565006587384821e-22
867.0223666657362,1.8843907291962697e-22
861.0013780083351,2.26088317053787e-22
855.0634374703467,2.702951445194513e-22
849.2068385835636,3.219970584523062e-22
843.4299213142875,3.8222550679995473e-22
837.7310704945965,4.521078829285184e-22
832.1087143167803,5.3286805872706e-22
826.5613228880019,6.258251653270018e-22
821.0874068423858,7.323903312607734e-22
815.6855160078966,8.540610905054137e-22
810.3542381254919,9.924131847187246e-22
805.0921976181835,1.1490895062858948e-21
799.8980544077436,1.325785962572664e-21
794.7705027769247,1.5242340877829236e-21
789.708270275161,1.7461802874612006e-21
784.7101166658243,1.9933616719699327e-21
779.7748329132093,2.267478518737689e-21
774.9012402075016,2.570163497717686e-21
770.0881890260886,2.902947898748035e-21
765.3345582296312,3.267225211212328e-21
760.6392541914126,3.664212522826866e-21
756.0012099585383,4.0949103222470325e-21
751.4193844436379,4.5600614057210076e-21
746.8927616457847,5.0601096970603674e-21
742.4203498994028,5.595159888305251e-21
738.0011811500015,6.164938891070878e-21
733.634310255623,6.768760151149884e-21
729.3188143129428,7.40549191722265e-21
725.0537920070191,8.073530564637027e-21
720.8383629837225,8.770780053938111e-21
716.6716672439321,9.494638548764054e-21
712.5528645586222,1.0241993127489479e-20
708.4811339040015,1.1009223397367718e-20
704.4556729159107,1.1792214659942042e-20
700.4756973627133,1.2586381084552696e-20
696.5404406359565,1.3386699126605466e-20
692.6491532581022,1.41877511839498e-20
688.8011024066681,1.498377922451288e-20
684.9955714541451,1.576874784857444e-20
681.2318595230784,1.6536415977898955e-20
677.5092810557392,1.7280416100080552e-20
673.8271653978275,1.799433974886535e-20
670.1848563956771,1.8671827678766057e-20
666.5817120064529,1.9306663003401683e-20
663.017103920857,1.989286541930555e-20
659.4904171978737,2.0424784536937468e-20
656.0010499111124,2.0897190293361722e-20
652.5484128063172,2.1305358429869652e-20
649.1319289696348,2.164514908421214e-20
645.7510335062515,2.191307667054026e-20
642.405173229017,2.210636939807882e-20
639.0938063567024,2.222301700743851e-20
635.8164022215398,2.226180557492584e-20
632.5724409857157,2.2222338542218502e-20
629.3614133664988,2.210504346198257e-20
626.1828203696983,2.1911164299062587e-20
623.0361730311571,2.164273948082474e-20
619.9209921660013,2.130256623793866e-20
616.8368081253744,2.0894152107457502e-20
613.7831605603974,2.0421654773266907e-20
